title,URL,total_time,description,ingredients,instructions,calories,serves
Mie Goreng - Indonesian Fried Noodles,https://www.allrecipes.com/recipe/169870/mie-goreng-indonesian-fried-noodles/,35,"Chicken breast, cabbage, carrots, broccoli and mushrooms are stir-fried in a wok with cooked ramen noodles and sweet soy sauce to make a beloved home-style Indonesian noodle dish.","['3 (3 ounce packages ramen noodles (without flavor packets)', '1 tablespoon vegetable oil', '1 pound skinless, boneless chicken breast halves, cut into strips', '1 teaspoon olive oil', '1 teaspoon garlic salt', '1 pinch ground black pepper', '1 tablespoon vegetable oil', '0.5 cup chopped shallots', '5 cloves garlic (chopped)', '1 cup shredded cabbage', '1 cup shredded carrots', '1 cup broccoli florets', '1 cup sliced fresh mushrooms', '0.25 cup soy sauce', '0.25 cup sweet soy sauce (Indonesian kecap manis)', '0.25 cup oyster sauce', 'some pinched of salt and pepper']","['Bring a pan of water to a boil, and cook the ramen until tender, about 3 minutes. Plunge the noodles into cold water to stop the cooking, drain in a colander set in the sink, and drizzle the noodles with 1 tablespoon of vegetable oil. Set aside.', 'Place the chicken strips in a bowl, and toss with olive oil, garlic salt, and black pepper. Heat 1 tablespoon of oil in a wok over high heat, and cook and stir the chicken until it is no longer pink, about 5 minutes. Stir in the shallots and garlic, and cook and stir until they start to turn brown. Add the cabbage, carrots, broccoli, and mushrooms, and cook and stir until the vegetables are tender, about 5 minutes.', 'Stir in the ramen noodles, soy sauce, sweet soy sauce, and oyster sauce, mixing the noodles and sauces into the vegetables and chicken. Bring the mixture to a simmer, sprinkle with salt and pepper, and serve hot.']",356 kcal,6 servings
Chicken In Coconut Sauce,https://www.allrecipes.com/recipe/74975/chicken-in-coconut-sauce/,60,"An Indonesian-inspired coconut sauce for chicken made with cream of coconut, garlic, onions, and spices. Serve over hot cooked rice for a great-tasting meal.","['15 ounce can cream of coconut', '1 cup hot water', '3 tablespoons vegetable oil', '4 skinless, boneless chicken breast halves', '1 tablespoon lemon juice', '1 teaspoon ground ginger', '1 teaspoon chili powder', 'some pinched of salt and pepper', '2 onions (chopped)', '3 cloves garlic (peeled and crushed)']","['Mix cream of coconut with hot water until smooth and well blended; set aside.', 'Heat oil in a large skillet over medium-high heat; place chicken breasts into hot oil and fry until golden brown but still pink inside, about 5 minutes per side. Transfer chicken breasts to a paper towel-lined plate; sprinkle with lemon juice, ginger, chili powder, salt, and pepper.', 'Place onions and garlic into the skillet over medium heat; cook and stir until soft and translucent, about 5 minutes. Return chicken breasts to the skillet on top of cooked onions and garlic; pour coconut cream mixture over chicken. Reduce heat to medium-low; simmer until chicken is cooked through and sauce has thickened, about 35 minutes.']",716 kcal,4 servings
Cap Cai,https://www.allrecipes.com/recipe/166608/cap-cai/,45,"Learn how to make cap cai. Shrimp, broccoli, cauliflower, and other vegetables are simmered with oyster sauce in this tasty Indonesian dish.","['3 tablespoons vegetable oil', '4 cloves garlic, minced', '1 onion (thinly sliced)', '10 ounces medium shrimp(peeled and deveined))', '1 head bok choy (chopped)', '1.5 cups chopped broccoli', '1.5 cups chopped cauliflower', '1 large carrot - thinly sliced at an angle', '3 green onions (chopped)', '0.66666668653488 cup water', '2 tablespoons cornstarch', '2 tablespoons fish sauce', '2 tablespoons oyster sauce', '1 teaspoon white sugar', '0.5 teaspoon ground black pepper', 'some pinched of salt']","['Heat vegetable oil in a large saucepan over medium heat. Stir in garlic and onion; cook and stir until onion has softened and turned translucent, about 5 minutes. Add shrimp, bok choy, broccoli, cauliflower, carrot, and green onion. Pour in water, cover, and cook until shrimp is no longer translucent in the center and vegetables are tender, about 15 minutes.', 'Dissolve cornstarch into fish sauce in a small bowl. Stir into the cap cai along with oyster sauce, sugar, and pepper; stir until thickened. Season with salt before serving.']",250 kcal,4 servings
Indonesian Spiced Rice,https://www.allrecipes.com/recipe/18307/indonesian-spiced-rice/,45,"This colorful, spicy rice side dish is flavored with garlic, turmeric, cinnamon, and jalapeños. Pairs perfectly with lamb kabobs.","['3 tablespoons vegetable oil', '1 large onion (chopped)', '2 jalapeno peppers, seeded and minced', '2 cloves garlic, crushed', '1 teaspoon ground turmeric', '0.5 teaspoon ground cinnamon', '2 cups uncooked long-grain white rice', '14.5 ounce cans chicken broth', '1 cup water', '1 bay leaf', '2 green onions (chopped)']","['Heat oil in a large, heavy pan over medium heat. Stir in onion, jalapeños, and garlic. Sauté until onion is translucent; about 6 to 8 minutes.', 'Stir in turmeric and cinnamon. Add rice; cook and stir for 2 minutes. Mix in chicken broth, water, and bay leaf; bring to a boil. Reduce heat to low, cover, and cook for 20 minutes.', 'Turn off the heat and let sit for 5 minutes. Garnish with chopped green onion.']",226 kcal,8 servings
Sop Buntut (Indonesian Oxtail Soup),https://www.allrecipes.com/recipe/246144/sop-buntot-indonesian-oxtail-soup/,375,Oxtail and vegetables are simmered for hours into a deeply comforting soup with complex flavors in this recipe for Indonesian sop buntut.,"['4 shallots (peeled and halved)', '1 large onion, quartered (divided)', '2 inch piece ginger (peeled and thinly sliced across the grain)', '5 cloves garlic (peeled)', '3 tablespoons canola oil', '6 whole cloves', '0.5 teaspoon ground nutmeg', '0.25 teaspoon ground cinnamon', '4 pounds meaty oxtail pieces, at room temperature', '3 stalks celery, cut into 1-inch pieces', '2 large carrots, cut into 2-inch pieces (divided)', '4 cups water (or as needed) to cover', '3 waxy potatoes, scrubbed and cut into 1.5-inch chunks', '3 large carrots, cut into 2-inch pieces', '2 teaspoons salt', '0.5 teaspoon ground black pepper', '2 tablespoons white sugar', '2 tablespoons fish sauce', '3 ripe roma tomatoes (sliced) horizontally into 1/2-inch wedges', '2.8 ounce can French-fried onions']","['Combine shallots, 2 onion quarters, ginger, and garlic in a food processor; pulse into a paste.', 'Heat oil in a large pot over medium-high heat; cook and stir cloves, nutmeg, and cinnamon until fragrant, about 30 seconds. Add shallot paste and fry until fragrant and slightly browned, 2 to 3 minutes. Add oxtails; cook and stir until browned, about 5 minutes.', 'Stir remaining onion quarters, celery, and 2 carrots into the pot. Pour in enough water to cover by 2 inches. Bring to a boil; reduce heat, cover, and simmer until oxtail is tender, about 5 hours.', 'Stir potatoes, 3 carrots, salt, and black pepper into the pot. Increase heat and simmer soup until potatoes and carrots are tender, about 15 minutes. Add sugar and fish sauce; stir well to combine.', 'Ladle soup into large serving bowls; top with tomato wedges and French-fried onions.']",520 kcal,8 servings
Jemput Jumput (Banana Fritters),https://www.allrecipes.com/recipe/85508/jemput-jumput-banana-fritters/,25,A touch of sugar adds an extra flavor dimension in this traditional Indonesian fritter. It's a delicious and fun family treat.,"['0.625 cup all-purpose flour', '1 pinch salt', '1 teaspoon baking powder', '6 ripe bananas', '3 tablespoons white sugar', 'oil for frying']","['Heat oil in a deep fryer or heavy bottomed pan to 375 degrees F (190 degrees C).', 'Sift the flour, salt, and baking powder into a medium bowl.', 'In a separate bowl, mash together the bananas and sugar. Gradually mix flour mixture into mashed bananas, stirring until well combined.', 'Drop batter by spoonfuls into hot oil, and cook, turning once, until browned, 2 to 8 minutes. Drain on paper towels.']",491 kcal,18 servings
Erin's Indonesian Chicken,https://www.allrecipes.com/recipe/78131/erins-indonesian-chicken/,45,Chicken and green beans are served over rice with a spicy peanut sauce.,"['1 cup uncooked long grain white rice', '2 cups water', '1 pound fresh green beans (trimmed and snapped)', '2 teaspoons olive oil', '1 pound skinless, boneless chicken breast halves - cut into chunks', '0.75 cup low-sodium chicken broth', '0.35 cup smooth peanut butter', '2 teaspoons honey', '1 tablespoon low sodium soy sauce', '1 teaspoon red chile paste', '2 tablespoons lemon juice', '3 green onions (thinly sliced)', '2 tablespoons chopped peanuts']","['Bring the rice and water to boil in a pot. Reduce heat to low, cover, and simmer 20 minutes.', 'Place green beans in a pot fitted with a steamer basket over boiling water, and steam 10 minutes, or until tender but crisp.', 'Heat the oil in a skillet, and cook the chicken 5 minutes on each side, or until juices run clear.', 'Mix the chicken broth, peanut butter, honey, soy sauce, chile paste, lemon juice in a saucepan over medium heat. Cook and stir 5 minutes, until slightly thickened. Mix in the green beans. Serve over rice. Garnish with green onions and peanuts.']",530 kcal,4 servings
Indonesian Pork Satay,https://www.allrecipes.com/recipe/21230/indonesian-pork-satay/,400,"For a Southeast Asian treat, try these grilled pork skewers, marinated in a spicy ginger-peanut sauce.","['2 cloves garlic', '0.5 cup chopped green onions', '1 tablespoon chopped fresh ginger root', '1 cup roasted, salted Spanish peanuts', '2 tablespoons lemon juice', '2 tablespoons honey', '0.5 cup soy sauce', '2 teaspoons crushed coriander seed', '1 teaspoon red pepper flakes', '0.5 cup chicken broth', '0.5 cup melted butter', '1.5 pounds pork tenderloin, cut into 1 inch cubes', 'skewers']","['In a food processor, process garlic, green onions, ginger, peanuts, lemon juice, honey, soy sauce, coriander, and red pepper flakes. Puree until almost smooth. Pour in broth and butter, and mix again.', 'Place pork cubes in a large resealable plastic bag, and pour mixture over meat. Marinate in the refrigerator for 6 hours, or overnight.', 'Preheat grill for medium heat. Remove pork cubes from bag, and thread onto skewers. In a small saucepan, boil the marinade for 5 minutes. Reserve a small amount of the marinade for basting, and set the remainder aside to serve as a dipping sauce.', 'Lightly oil preheated grill. Grill for 10 to 15 minutes, or until well browned, turning and brushing frequently with cooked marinade. Serve with dipping sauce.']",682 kcal,4 servings
Spicy Sambal Shrimp,https://www.allrecipes.com/recipe/245944/spicy-sambal-shrimp/,73,"Shrimp is tossed in a spicy, buttery sauce made with sambal oelek in this easy Indonesian-inspired dish served over steamed sushi rice.","['1 pound large frozen shrimp (tails removed)', '0.5 cup butter', '3 cloves garlic, minced', '0.5 lemon, juiced (divided)', '1.5 teaspoons butter', '0.75 cup chopped onion', '0.5 cup sambal oelek (Indonesian red chile paste)', '3 cups water', '3 cups sushi rice', '0.5 bunch green onions (chopped)']","['Place shrimp in a large bowl of cold water until thawed, 10 to 15 minutes.', 'Melt 1/2 cup butter in a microwave-safe glass or ceramic bowl in the microwave in 15-second intervals, 30 seconds to 1 minute. Mix in garlic and half the lemon juice.', 'Melt 1.5 teaspoon butter in a large skillet over medium heat. Add onion; cook and stir until translucent, about 5 minutes. Add shrimp, garlic butter mixture, and sambal oelek. Cook and stir until garlic is cooked and shrimp are heated through, 7 to 8 minutes.', 'Bring water and sushi rice to a boil in a saucepan. Reduce heat to low, cover, and simmer until rice is tender, about 15 minutes. Remove from heat, and let stand, covered, until liquid has been absorbed, about 10 minutes.', 'Serve shrimp over rice, topped with remaining lemon juice and green onions.']",624 kcal,6 servings
Prawn Nasi Goreng,https://www.allrecipes.com/recipe/133866/prawn-nasi-goreng/,30,"A tasty Indonesian fried rice dish, combining stir-fried vegetables and shrimp in a delicious sauce.","['2 tablespoons vegetable oil (divided)', '3 eggs, beaten', '2 tablespoons dark soy sauce', '2 tablespoons ketchup', '1 tablespoon brown sugar', '1 teaspoon toasted sesame oil', '1 teaspoon sweet chili sauce', '1 zucchini (chopped)', '1 carrot (chopped)', '8 green onions (sliced)', '1 clove garlic, crushed', '2 cups cooked rice', '0.5 pound cooked prawns', '2 tablespoons fresh chives (chopped)']","['Heat 1 tablespoon vegetable oil in a skillet over medium heat. Swirl the beaten egg into the pan so that it coats the surface. Flip the egg after 30 seconds, and cook for an additional 20 seconds on the other side. Remove the egg from the pan and, when cool enough to handle, roll up on a cutting board. Slice the rolled egg to make thin strips and set aside.', 'In a small bowl, combine soy sauce, ketchup, brown sugar, sesame oil, and chili sauce; set aside.', 'Heat the remaining 1 tablespoon oil in a skillet or wok over medium-high heat. When hot, add the zucchini, carrot, and green onions. Stir-fry for three minutes. Add the garlic, rice, prawns, and sauce mixture and mix well.', 'Remove from heat and serve immediately, topped with the egg strips and chopped chives.']",664 kcal,2 servings
Batagor Bandung (Indonesian Fried Tofu),https://www.allrecipes.com/recipe/264555/batagor-bandung-indonesian-fried-tofu/,65,"Batagor bandung is a very popular street food found around the Sunda region of Western Java. Tofu triangles are stuffed with a savory ground meat mixture, steamed, and fried.","['4 (8 ounce containers tofu', '0.5 cup prawns - peeled, deveined, and minced', '1 egg, lightly beaten', '1.5 ounces ground chicken', '1 green onion (chopped)', '2 teaspoons cornstarch', '1 teaspoon sesame oil', 'salt and ground white pepper to taste', '1 egg', '6 tablespoons all-purpose flour', 'cold water (or as needed)', '0.35 cup water', '0.25 cup coarsely chopped dry roasted peanuts', '1 fresh red chile pepper (finely chopped)', '2 cloves garlic, minced', '2 teaspoons white vinegar', '1 teaspoon white sugar', '1 teaspoon salt', 'oil for frying']","['Slice each tofu square diagonally to make 8 triangles. Make a cut into the base of each tofu triangle and scoop out enough of tofu to create a pocket.', 'Combine scooped-out tofu pieces, prawns, egg, ground chicken, green onion, cornstarch, sesame oil, salt, and pepper in a bowl for the filling. Carefully stuff filling back into the tofu triangles; the filling will bulge out.', 'Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add stuffed tofu triangles, cover, and steam for 20 minutes.', 'Meanwhile, make the batter. Mix egg and flour in a bowl. Whisk in enough water to give batter a medium-thin consistency.', 'Combine water, peanuts, red chile pepper, garlic, vinegar, salt, and sugar in a bowl. Stir until salt and sugar have dissolved and set sauce aside.', 'Remove cooked tofu triangles from the steamer.', 'Heat oil in a wok until hot. Dip triangles into the batter and slowly lower into the hot oil. Fry in batches until golden brown and the batter is cooked through, about 5 minutes. Drain on paper towels. Serve hot with the peanut sauce.']",274 kcal,8 servings
Opor Ayam (Chicken in Coconut Milk),https://www.allrecipes.com/recipe/264501/opor-ayam-chicken-in-coconut-milk/,95,"The kitchen will smell amazing this Ramadan when you make this Indonesian recipe for chicken stewed in coconut milk with lemongrass, ginger, galangal, and lime leaves.","['2 to 3 pound chicken (cut into 8 pieces)', '1 lemon, juiced', '4 candlenuts', '1 teaspoon ground coriander', '0.5 teaspoon cumin seeds', '7 shallots (peeled)', '5 cloves garlic (peeled)', '1 tablespoon chopped galangal', '0.5 tablespoon chopped ginger', '0.5 teaspoon white peppercorns', '0.5 teaspoon chopped fresh turmeric root', '3 tablespoons vegetable oil', '2 stalks lemongrass, bruised', '1 tablespoon tamarind juice', '5 makrut lime leaves', '3 bay leaves', '1 teaspoon salt', '0.5 teaspoon white sugar', '3.3333332538605 cups thin coconut milk', '1 cup thick coconut milk', '1 small bunch Thai basil', '2.8 ounce package fried shallots']","['Soak chicken pieces in lemon juice for 30 minutes.', 'Meanwhile, heat a dry skillet over medium heat. Toast candlenuts, coriander, and cumin in the skillet until fragrant, about 1 minute. Transfer to a large mortar and pestle and grind into a paste with shallots, garlic, galangal, ginger, peppercorns, and turmeric. Work in batches if necessary.', 'Heat oil in a large skillet over medium heat. Add spice paste and stir until aromatic, 2 to 3 minutes. Add lemongrass, tamarind juice, lime leaves, bay leaves, salt, and sugar.', 'Rinse lemon juice off chicken pieces and slide them into the skillet. Turn to coat evenly with spices. Pour in thin and thick coconut milk. Simmer until flavors combine, about 30 minutes. Add basil leaves. Continue cooking until chicken is tender, about 15 minutes more.', 'Serve chicken and sauce in a bowl, sprinkled with fried shallots.']",538 kcal,8 servings
